disease,lab_test,n_admissions_with_lab,total_admissions,frequency
Acute Kidney Injury,Creatinine,63966,65019,0.9838047340008306
Acute Kidney Injury,Urea Nitrogen,63935,65019,0.9833279502914533
Acute Kidney Injury,Potassium,63919,65019,0.983081868376936
Acute Kidney Injury,Sodium,63918,65019,0.9830664882572786
Acute Kidney Injury,Glucose,63903,65019,0.9828357864624186
Acute Kidney Injury,Chloride,63901,65019,0.9828050262231041
Acute Kidney Injury,Bicarbonate,63883,65019,0.982528184069272
Acute Kidney Injury,Anion Gap,63880,65019,0.9824820437103
Acute Kidney Injury,Hematocrit,63580,65019,0.9778680078131008
Acute Kidney Injury,Platelet Count,63544,65019,0.9773143235054369
Acute Kidney Injury,Hemoglobin,63544,65019,0.9773143235054369
Acute Kidney Injury,White Blood Cells,63536,65019,0.9771912825481782
Acute Kidney Injury,MCHC,63525,65019,0.9770221012319475
Acute Kidney Injury,MCV,63524,65019,0.9770067211122903
Acute Kidney Injury,Red Blood Cells,63524,65019,0.9770067211122903
Anemia,Hematocrit,67521,70638,0.9558736091055806
Anemia,Platelet Count,67179,70638,0.9510320224241909
Anemia,Hemoglobin,67150,70638,0.950621478524307
Anemia,White Blood Cells,67100,70638,0.9499136442141624
Anemia,MCHC,67090,70638,0.9497720773521334
Anemia,Red Blood Cells,67090,70638,0.9497720773521334
Anemia,MCH,67090,70638,0.9497720773521334
Anemia,MCV,67090,70638,0.9497720773521334
Anemia,RDW,67089,70638,0.9497579206659306
Anemia,Creatinine,66544,70638,0.9420425266853535
Anemia,Glucose,66471,70638,0.9410090885925423
Anemia,Urea Nitrogen,66371,70638,0.9395934199722529
Anemia,Potassium,66358,70638,0.9394093830516153
Anemia,Sodium,66284,70638,0.9383617882726012
Anemia,Chloride,66256,70638,0.9379654010589201
Atrial Fibrillation,Potassium,73831,79779,0.9254440391581744
Atrial Fibrillation,Creatinine,73818,79779,0.9252810890083857
Atrial Fibrillation,Urea Nitrogen,73719,79779,0.9240401609446095
Atrial Fibrillation,Sodium,73547,79779,0.9218842051166347
